last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Bauer, Trevor,545333,39.7,2.6,16.5,13.9,7.7,19.7,0.0,0.0
Lynn, Lance,458681,54.1,17.2,16.2,0.0,3.0,9.5,0.0,0.0
Strasburg, Stephen,544931,28.6,19.7,0.0,0.4,20.7,30.7,0.0,0.0
Rodriguez, Eduardo,593958,38.6,15.6,16.3,2.1,24.1,3.3,0.0,0.0
Cole, Gerrit,543037,51.6,2.4,0.0,23.2,7.4,15.4,0.0,0.0
Minor, Mike,501985,44.6,0.0,0.0,19.4,24.6,11.4,0.0,0.0
Nola, Aaron,605400,35.4,10.8,0.0,0.0,18.6,35.2,0.0,0.0
Corbin, Patrick,571578,19.4,34.3,0.0,37.1,5.7,3.5,0.0,0.0
Verlander, Justin,434378,49.9,0.0,0.0,28.7,4.2,17.3,0.0,0.0
Bumgarner, Madison,518516,42.8,0.1,33.4,0.0,5.3,18.3,0.0,0.0
Bieber, Shane,669456,45.7,0.0,0.0,26.5,7.3,20.5,0.0,0.0
deGrom, Jacob,594798,48.1,1.1,0.0,32.0,15.9,2.9,0.0,0.0
Flaherty, Jack,656427,46.5,11.9,0.0,27.6,2.0,12.0,0.0,0.0
Gonzales, Marco,594835,39.4,0.0,20.7,0.0,24.1,15.9,0.0,0.0
López, Reynaldo,625643,58.5,0.0,0.0,18.3,14.8,8.4,0.0,0.0
Wheeler, Zack,554430,30.0,29.0,0.0,19.8,10.2,10.0,1.0,0.0
Morton, Charlie,450203,29.8,19.2,10.4,0.0,0.0,37.3,3.3,0.0
Berríos, José,621244,32.5,23.2,0.0,0.0,16.0,28.3,0.0,0.0
Syndergaard, Noah,592789,29.3,29.8,0.0,15.2,16.3,9.5,0.0,0.0
Alcantara, Sandy,645261,30.2,27.6,0.0,21.5,12.1,8.6,0.0,0.0
Greinke, Zack,425844,41.2,5.3,0.1,16.2,22.1,14.8,0.2,0.0
Castillo, Luis,622491,29.7,20.8,0.0,16.9,32.5,0.0,0.0,0.0
Ray, Robbie,592662,42.7,10.0,0.0,30.8,0.0,16.5,0.0,0.0
Stroman, Marcus,573186,2.4,36.3,24.1,30.9,5.3,1.0,0.0,0.0
Lester, Jon,452657,28.3,10.2,34.2,0.0,11.9,15.4,0.0,0.0
Teheran, Julio,527054,41.7,22.7,0.0,21.0,8.2,6.5,0.0,0.0
Boyd, Matthew,571510,49.9,3.9,0.0,36.1,6.0,4.0,0.0,0.0
Nova, Iván,467100,17.6,36.6,13.0,0.0,16.0,16.8,0.0,0.0
Samardzija, Jeff,502188,27.7,19.3,24.9,18.1,0.0,2.5,7.7,0.0
