last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Cole, Gerrit,543037,51.9,0.0,6.4,22.6,8.4,10.8,0.0,0.0
Burnes, Corbin,669203,0.5,6.7,55.4,9.2,9.8,18.4,0.0,0.0
Alcantara, Sandy,645261,25.2,24.8,0.0,22.0,27.7,0.3,0.0,0.0
Mikolas, Miles,571945,27.4,22.3,0.0,25.4,4.0,20.8,0.0,0.0
Cease, Dylan,656302,39.8,1.0,0.0,42.9,2.4,13.9,0.0,0.0
Wainwright, Adam,425794,9.4,28.1,25.4,0.0,6.1,31.0,0.0,0.0
Pivetta, Nick,601713,51.0,0.0,0.0,19.7,2.3,27.1,0.0,0.0
Kelly, Merrill,518876,29.2,17.0,18.3,0.2,21.8,13.5,0.0,0.0
Ray, Robbie,592662,39.4,20.8,0.0,37.2,0.7,1.9,0.0,0.0
Nola, Aaron,605400,33.4,18.8,6.5,0.0,14.7,26.5,0.0,0.0
Valdez, Framber,664285,3.6,49.0,10.3,0.0,9.0,28.0,0.0,0.0
Gilbert, Logan,669302,53.9,1.4,0.0,24.2,8.0,12.5,0.0,0.0
Webb, Logan,657277,3.2,32.9,0.0,32.7,31.2,0.0,0.0,0.0
Lyles, Jordan,543475,31.8,17.5,2.7,23.9,10.8,13.4,0.0,0.0
Rodón, Carlos,607074,61.2,0.0,0.0,31.1,2.0,5.7,0.0,0.0
Pérez, Martín,527048,8.0,35.2,24.3,1.4,27.6,3.5,0.0,0.0
Darvish, Yu,506433,25.2,9.1,35.2,19.1,0.0,4.0,7.5,0.0
Manoah, Alek,666201,35.9,25.8,0.0,27.1,11.2,0.0,0.0,0.0
Gallen, Zac,668678,48.1,0.0,14.8,0.9,14.2,21.9,0.0,0.0
Quantrill, Cal,615698,2.7,45.2,36.0,0.0,11.8,4.2,0.0,0.0
López, Pablo,641154,38.8,8.1,9.7,0.0,35.3,8.1,0.0,0.0
Morton, Charlie,450203,33.3,10.8,9.3,0.0,8.6,38.0,0.0,0.0
Bassitt, Chris,605135,13.1,33.4,17.2,16.3,6.1,13.9,0.0,0.0
Bieber, Shane,669456,34.4,0.0,16.6,28.8,2.3,17.9,0.0,0.0
Freeland, Kyle,607536,23.3,22.1,0.0,22.5,13.9,18.2,0.0,0.0
Márquez, Germán,608566,29.8,24.2,0.0,20.9,3.0,22.1,0.0,0.0
Gonzales, Marco,594835,36.5,0.0,19.6,0.0,30.5,13.4,0.0,0.0
Musgrove, Joe,605397,24.0,6.8,19.4,24.4,6.3,19.1,0.0,0.0
Fried, Max,608331,32.5,13.2,0.0,18.6,14.1,21.6,0.0,0.0
McKenzie, Triston,663474,55.9,0.0,0.0,22.1,0.0,21.9,0.0,0.0
Taillon, Jameson,592791,35.7,11.1,11.1,18.8,8.4,14.8,0.0,0.0
Gausman, Kevin,592332,48.8,0.0,0.0,14.5,1.9,0.0,34.8,0.0
Giolito, Lucas,608337,47.7,0.0,0.0,23.6,25.5,3.2,0.0,0.0
Gibson, Kyle,502043,11.9,28.1,21.7,21.0,10.7,6.6,0.0,0.0
Quintana, José,500779,36.0,16.4,0.0,0.0,19.5,28.1,0.0,0.0
Berríos, José,621244,27.9,25.8,0.0,0.0,15.4,30.9,0.0,0.0
Montgomery, Jordan,656756,17.0,34.5,4.0,0.0,22.2,22.2,0.0,0.0
Bumgarner, Madison,518516,33.2,0.2,36.4,0.2,11.3,18.7,0.0,0.0
Wright, Kyle,657140,19.4,23.9,0.0,7.2,15.5,34.1,0.0,0.0
Lauer, Eric,641778,43.9,0.0,19.4,17.5,3.1,16.0,0.0,0.0
Keller, Mitch,656605,33.1,22.3,0.0,22.5,6.6,15.5,0.0,0.0
Urquidy, José,664353,52.7,0.0,4.8,13.5,14.8,14.1,0.0,0.0
Ohtani, Shohei,660271,27.6,3.7,9.1,39.1,0.0,8.6,12.0,0.0
Corbin, Patrick,571578,18.6,43.6,0.0,29.4,8.3,0.0,0.0,0.0
Urías, Julio,628711,47.7,1.5,0.0,0.0,17.5,33.3,0.0,0.0
Irvin, Cole,608344,36.0,22.9,2.0,0.0,18.4,20.7,0.0,0.0
Verlander, Justin,434378,50.4,0.0,0.0,28.3,2.4,18.8,0.0,0.0
Gray, Josiah,680686,39.2,3.7,0.0,29.5,2.8,24.8,0.0,0.0
Anderson, Tyler,542881,38.0,7.1,22.0,0.0,31.6,1.2,0.0,0.0
Suárez, Ranger,624133,17.7,40.2,9.1,3.9,21.4,7.7,0.0,0.0
Javier, Cristian,664299,59.9,0.0,0.0,27.6,4.1,8.3,0.0,0.0
Dunning, Dane,641540,0.1,40.0,11.9,27.9,20.2,0.0,0.0,0.0
Woodruff, Brandon,605540,38.4,21.5,0.0,11.3,16.3,12.6,0.0,0.0
Castillo, Luis,622491,32.9,23.7,0.0,21.1,22.3,0.0,0.0,0.0
Walker, Taijuan,592836,29.5,11.3,6.6,16.3,0.0,8.7,27.6,0.0
Manaea, Sean,640455,0.0,60.9,0.0,13.9,24.5,0.7,0.0,0.0
Garcia, Luis,677651,42.1,0.2,29.4,8.8,9.4,10.2,0.0,0.0
Cortes, Nestor,641482,43.9,3.0,29.8,18.7,4.4,0.2,0.0,0.0
McClanahan, Shane,663556,35.7,0.0,0.0,15.5,25.4,23.4,0.0,0.0
Sandoval, Patrick,663776,22.8,14.2,0.0,29.1,24.6,9.3,0.0,0.0
Kluber, Corey,446372,1.5,26.8,34.2,0.0,10.3,27.3,0.0,0.0
Lynch, Daniel,663738,43.2,3.1,0.0,30.4,18.2,5.1,0.0,0.0
Fedde, Erick,607200,0.0,40.1,27.6,0.0,3.6,28.7,0.0,0.0
Cobb, Alex,502171,0.1,42.0,0.0,0.0,0.0,15.3,42.5,0.0
Carrasco, Carlos,471911,35.1,11.7,0.0,24.3,24.5,4.4,0.0,0.0
Ryan, Joe,657746,60.1,0.0,0.0,20.7,12.1,7.1,0.0,0.0
Brubaker, JT,664141,5.9,41.9,0.0,31.0,5.1,16.0,0.0,0.0
Singer, Brady,663903,0.5,53.8,0.0,38.0,7.7,0.0,0.0,0.0
Kuhl, Chad,641771,2.5,42.2,0.0,36.6,7.2,11.5,0.0,0.0
Cueto, Johnny,456501,19.4,23.7,19.7,16.5,20.2,0.6,0.0,0.0
Wheeler, Zack,554430,41.9,17.6,0.0,26.9,1.8,11.9,0.0,0.0
Snell, Blake,605483,55.5,0.0,0.0,24.3,5.0,15.1,0.0,0.0
