last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Lynn, Lance,458681,50.1,18.0,22.4,0.0,1.0,8.5,0.0,0.0
Bieber, Shane,669456,37.8,0.0,15.8,11.6,8.5,26.3,0.0,0.0
Márquez, Germán,608566,38.5,13.9,0.0,16.9,5.3,25.4,0.0,0.0
Giolito, Lucas,608337,50.6,0.0,0.0,14.7,33.7,1.0,0.0,0.0
Scherzer, Max,453286,46.0,0.0,9.6,19.3,16.0,9.1,0.0,0.0
Woodruff, Brandon,605540,34.5,30.6,0.0,10.9,17.5,6.4,0.0,0.0
Cole, Gerrit,543037,52.5,0.2,0.0,24.6,5.6,17.0,0.0,0.0
Civale, Aaron,650644,2.5,28.9,28.7,9.5,9.2,21.2,0.0,0.0
Bauer, Trevor,545333,47.4,0.3,19.7,16.5,0.3,15.7,0.0,0.0
Castillo, Luis,622491,27.1,25.2,0.0,17.7,30.0,0.0,0.0,0.0
Darvish, Yu,506433,14.6,8.7,40.5,15.1,0.0,11.7,9.4,0.0
Hendricks, Kyle,543294,21.0,33.9,0.0,0.0,28.3,16.7,0.0,0.0
Nola, Aaron,605400,24.4,21.6,0.0,0.0,27.4,26.7,0.0,0.0
Gibson, Kyle,502043,13.9,35.6,0.4,24.6,17.8,7.7,0.0,0.0
Cueto, Johnny,456501,33.2,10.5,0.0,9.9,27.1,19.3,0.0,0.0
Senzatela, Antonio,622608,55.9,0.0,0.0,24.8,10.4,8.9,0.0,0.0
deGrom, Jacob,594798,44.9,0.0,0.0,35.5,16.9,2.6,0.0,0.0
Ryu, Hyun Jin,547943,24.6,10.0,24.4,0.0,27.8,13.2,0.0,0.0
Freeland, Kyle,607536,21.3,12.2,0.0,23.7,24.0,18.9,0.0,0.0
Gallen, Zac,668678,39.0,0.2,24.6,1.1,19.0,16.1,0.0,0.0
Carrasco, Carlos,471911,34.7,4.8,0.0,27.1,26.9,6.5,0.0,0.0
Berríos, José,621244,26.0,25.6,0.0,0.0,18.8,29.6,0.0,0.0
Boyd, Matthew,571510,50.3,2.4,0.0,22.7,17.2,7.5,0.0,0.0
Cease, Dylan,656302,47.8,0.0,0.0,30.1,12.7,9.3,0.0,0.0
Heaney, Andrew,571760,57.8,0.0,0.0,0.0,17.4,24.8,0.0,0.0
Wheeler, Zack,554430,42.9,22.6,0.0,15.9,8.5,10.1,0.0,0.0
Singer, Brady,663903,0.7,57.2,0.0,37.4,4.7,0.0,0.0,0.0
Corbin, Patrick,571578,17.2,34.8,0.0,40.3,5.6,2.1,0.0,0.0
Ray, Robbie,592662,47.4,3.6,0.0,29.4,2.7,16.9,0.0,0.0
Gonzales, Marco,594835,45.4,0.0,24.2,0.0,14.3,16.1,0.0,0.0
Davies, Zach,605200,0.0,41.8,14.0,0.0,41.3,2.8,0.0,0.0
Valdez, Framber,664285,2.0,54.8,0.0,0.0,9.7,33.5,0.0,0.0
Lamet, Dinelson,659275,37.3,9.3,0.0,53.4,0.0,0.0,0.0,0.0
Pérez, Martín,527048,15.1,17.7,32.0,0.0,25.8,9.4,0.0,0.0
Bundy, Dylan,605164,33.6,8.3,0.0,25.0,21.3,11.7,0.0,0.0
Williams, Trevor,592866,42.7,8.4,0.0,26.6,15.2,7.1,0.0,0.0
Burnes, Corbin,669203,2.5,33.1,31.5,12.7,11.2,9.1,0.0,0.0
Lester, Jon,452657,29.1,15.2,30.5,0.0,12.5,12.8,0.0,0.0
Webb, Logan,657277,33.7,15.0,5.3,15.3,30.7,0.0,0.0,0.0
Greinke, Zack,425844,43.4,0.1,0.0,17.1,23.3,16.2,0.0,0.0
Lyles, Jordan,543475,43.5,4.0,0.0,12.7,10.0,29.8,0.0,0.0
Maeda, Kenta,628317,18.7,7.1,2.7,38.7,0.0,3.4,29.3,0.0
Porcello, Rick,519144,10.5,42.6,0.0,29.2,12.6,5.1,0.0,0.0
Minor, Mike,501985,50.7,0.1,0.0,20.7,22.1,6.4,0.0,0.0
Gausman, Kevin,592332,51.1,0.0,0.0,6.8,14.5,0.0,27.7,0.0
Sánchez, Aníbal,434671,26.8,7.9,23.1,0.4,6.5,6.2,29.1,0.0
Weaver, Luke,596133,54.0,0.0,11.8,0.0,27.3,6.9,0.0,0.0
Gray, Sonny,543243,25.8,27.3,0.0,16.2,3.1,27.6,0.0,0.0
Canning, Griffin,656288,40.6,0.0,20.1,22.7,15.2,1.3,0.0,0.0
Glasnow, Tyler,607192,60.6,0.0,0.0,0.0,4.7,34.8,0.0,0.0
Turnbull, Spencer,605513,45.1,20.9,0.0,20.9,9.1,4.0,0.0,0.0
Paddack, Chris,663978,58.2,0.0,3.4,0.0,31.0,7.4,0.0,0.0
Keuchel, Dallas,572971,2.3,32.3,30.9,6.6,27.9,0.0,0.0,0.0
Anderson, Tyler,542881,39.0,8.0,18.1,0.0,33.0,1.9,0.0,0.0
Bassitt, Chris,605135,16.6,38.2,22.6,3.0,10.3,9.4,0.0,0.0
Mills, Alec,621219,25.4,34.3,0.0,10.1,15.2,15.0,0.0,0.0
Duffy, Danny,518633,39.1,14.3,0.0,17.2,15.3,14.1,0.0,0.0
Luzardo, Jesús,666200,32.7,20.5,0.0,0.0,24.0,22.8,0.0,0.0
Bubic, Kris,663460,54.2,0.0,0.0,0.0,29.9,15.9,0.0,0.0
Wainwright, Adam,425794,9.2,27.1,22.9,0.0,2.5,38.3,0.0,0.0
Houser, Adrian,605288,20.3,43.7,0.0,12.3,11.6,12.1,0.0,0.0
Fiers, Mike,571666,32.3,11.9,0.0,27.4,16.2,12.2,0.0,0.0
Montas, Frankie,593423,24.0,38.1,0.0,25.1,0.0,0.0,12.9,0.0
Eflin, Zach,621107,9.6,51.7,0.0,20.3,5.3,13.1,0.0,0.0
López, Pablo,641154,32.2,22.5,8.4,0.0,29.9,7.0,0.0,0.0
Roark, Tanner,543699,31.7,22.3,0.0,18.2,13.1,14.7,0.0,0.0
Fried, Max,608331,41.8,10.1,0.0,20.7,4.9,22.5,0.0,0.0
Voth, Austin,608723,61.0,0.0,12.4,0.0,0.0,23.5,3.1,0.0
Javier, Cristian,664299,63.0,0.0,0.0,25.5,7.2,4.3,0.0,0.0
Kershaw, Clayton,477132,40.8,0.0,0.0,40.2,0.2,18.8,0.0,0.0
McCullers Jr., Lance,621121,0.5,41.7,1.8,0.0,18.4,37.6,0.0,0.0
Walker, Taijuan,592836,38.3,11.3,0.0,21.5,0.0,10.1,18.7,0.0
Sheffield, Justus,656954,0.9,46.9,0.0,33.5,18.6,0.0,0.0,0.0
Snell, Blake,605483,51.1,0.0,0.0,15.4,19.3,14.2,0.0,0.0
May, Dustin,669160,5.5,51.4,24.6,0.0,5.1,13.4,0.0,0.0
Keller, Brad,641745,38.3,21.4,0.0,38.2,2.0,0.0,0.0,0.0
Mahle, Tyler,641816,55.5,0.0,0.0,32.6,0.0,0.7,11.2,0.0
Fedde, Erick,607200,11.6,43.9,16.6,0.0,9.5,18.4,0.0,0.0
Urías, Julio,628711,57.6,0.5,0.0,5.7,13.7,22.6,0.0,0.0
Yarbrough, Ryan,642232,0.0,23.4,36.0,0.0,30.0,10.7,0.0,0.0
Stripling, Ross,548389,43.6,0.4,0.0,15.0,17.2,23.9,0.0,0.0
Manaea, Sean,640455,0.0,54.3,3.2,14.3,28.2,0.0,0.0,0.0
Peterson, David,656849,37.4,15.8,0.0,25.9,18.7,2.2,0.0,0.0
Cobb, Alex,502171,0.6,47.5,0.0,0.0,0.0,16.7,35.2,0.0
Brubaker, JT,664141,14.4,35.1,0.0,32.3,4.5,13.7,0.0,0.0
Dunn, Justin,643290,53.6,1.0,0.0,16.5,6.2,22.7,0.0,0.0
Young, Alex,622065,19.8,12.9,21.6,0.0,21.1,24.6,0.0,0.0
Kikuchi, Yusei,579328,37.7,0.0,40.0,16.0,6.3,0.0,0.0,0.0
Lindblom, Josh,458676,35.1,0.0,19.2,16.9,9.1,9.5,10.3,0.0
Kuhl, Chad,641771,14.2,29.5,0.0,34.9,4.2,17.2,0.0,0.0
Richards, Garrett,572070,45.1,9.6,0.0,37.8,0.0,7.5,0.0,0.0
Happ, J.A.,457918,44.3,22.0,0.0,18.7,13.9,1.1,0.0,0.0
Plesac, Zach,668676,37.6,0.0,0.0,27.8,25.3,9.3,0.0,0.0
Tanaka, Masahiro,547888,24.1,7.5,0.0,37.7,0.0,5.9,24.8,0.0
Castellani, Ryan,624418,47.8,1.7,0.0,17.6,15.9,17.0,0.0,0.0
Anderson, Brett,474463,2.1,40.6,11.8,11.0,23.9,10.5,0.0,0.0
Dobnak, Randy,677976,4.5,43.9,0.0,35.3,16.3,0.0,0.0,0.0
Eovaldi, Nathan,543135,37.7,0.0,28.7,2.5,0.0,17.0,14.0,0.0
